มัธยมศึกษาปีที่ (ปีการศึกษา 2563 - 2564),หอพัก,ในวันที่นอนที่หอพัก นักเรียนเข้านอนเมื่อเวลาประมาณเท่าไหร่ (หากเครื่องของท่านใช้ระบบเวลาไทย 00:00 คือเที่ยงคืน หากใช้ระบบที่แยก AM และ PM 12:00 AM คือเที่ยงคืน ),ในวันที่นอนที่หอพัก นักเรียนตื่นเมื่อเวลาประมาณเท่าไหร่,ในวันศุกร์-เสาร์ ระหว่างเปิดเทอม เข้านอนเมื่อเวลาประมาณเท่าไหร่,ในวันศุกร์-เสาร์ ระหว่างเปิดเทอม ตื่นเมื่อเวลาประมาณเท่าไหร่,ในช่วงปิดเทอม เข้านอนเมื่อเวลาประมาณเท่าไหร่,ในช่วงปิดเทอม ตื่นเมื่อเวลาประมาณเท่าไหร่,อยากให้เริ่มเรียนเมื่อไหร่,อยากให้หอพักปลุกเมื่อไหร่,Hours Slept School Days,Hours Slept Weekends,Hours Slept Break,นักเรียนใช้เวลาในการเตรียมตัวลงหอประมาณกี่นาที,นักเรียนใช้เวลาในการรับประทานอาหารประมาณกี่นาที,คุณภาพการนอนเทียบกับที่บ้าน,นักเรียนรู้สึกง่วงในคาบเรียนส่วนใหญ่มากขนาดไหน  ,นักเรียนนอนหลับในคาบเรียนกี่คาบ,นักเรียนสามารถเรียนรู้ได้ขนาดไหน,นักเรียนรู้สึกเหนื่อยกับกิจกรรมหลังเลิกเรียนขนาดไหน เช่น การบ้าน โครงงาน กิจกรรมรุ่น จัดงานโรงเรียน,จงเรียงลำดับปัจจัยที่ส่งผลต่อการนอนน้อย [1],จงเรียงลำดับปัจจัยที่ส่งผลต่อการนอนน้อย [2],จงเรียงลำดับปัจจัยที่ส่งผลต่อการนอนน้อย [3],จงเรียงลำดับปัจจัยที่ส่งผลต่อการนอนน้อย [4],จงเรียงลำดับปัจจัยที่ส่งผลต่อการนอนน้อย [5]
1,โกเมน,0:00,6:30,23:00,11:00,3:00,12:00,10:00,8:00,6.500,12.000,9.000,15-20 นาที,25-30 นาที,2,4,4,3,2,เวลาตื่น,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ,เพื่อน,กิจกรรมโรงเรียน งานโรงเรียน,การบ้าน โครงงาน งานวิชาการอื่นๆ
1,โกเมน,23:00,5:30,0:00,8:00,21:00,6:00,9:00,6:00,6.500,8.000,9.000,15-20 นาที,10-15 นาที,4,1,1,3,2,เพื่อน,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ,เวลาตื่น,กิจกรรมโรงเรียน งานโรงเรียน,การบ้าน โครงงาน งานวิชาการอื่นๆ
1,บุษกร,22:30,5:30,22:00,8:00,22:00,7:00,8:30,6:00,7.000,10.000,9.000,20-30 นาที,15-20 นาที,2,1,0,3,4,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ,การบ้าน โครงงาน งานวิชาการอื่นๆ,กิจกรรมโรงเรียน งานโรงเรียน,เวลาตื่น,เพื่อน
1,นิลปัทม์,22:30,5:00,21:30,7:00,22:30,6:00,9:00,5:30,6.500,9.500,7.500,15-20 นาที,15-20 นาที,3,2,1,3,2,การบ้าน โครงงาน งานวิชาการอื่นๆ,เพื่อน,กิจกรรมโรงเรียน งานโรงเรียน,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ,เวลาตื่น
1,บัวชมพู,23:00,5:50,1:00,10:00,2:00,8:00,8:30,6:30,6.833,9.000,6.000,10-15 นาที,10-15 นาที,1,3,1,3,2,การบ้าน โครงงาน งานวิชาการอื่นๆ,เวลาตื่น,กิจกรรมโรงเรียน งานโรงเรียน,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ,เพื่อน
1,โกเมน,23:00,5:45,23:00,7:00,23:30,7:00,9:00,6:15,6.750,8.000,7.500,20-30 นาที,15-20 นาที,3,3,1,3,1,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ,เพื่อน,เวลาตื่น,กิจกรรมโรงเรียน งานโรงเรียน,การบ้าน โครงงาน งานวิชาการอื่นๆ
1,โกเมน,23:00,5:45,23:30,7:30,23:00,7:00,9:00,6:30,6.750,8.000,8.000,20-30 นาที,25-30 นาที,4,2,2,4,3,เวลาตื่น,กิจกรรมโรงเรียน งานโรงเรียน,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ,เพื่อน,การบ้าน โครงงาน งานวิชาการอื่นๆ
1,โกเมน,22:00,5:30,21:00,5:30,21:00,5:30,8:00,4:30,7.500,8.500,8.500,15-20 นาที,15-20 นาที,2,1,0,3,2,เพื่อน,เวลาตื่น,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ,กิจกรรมโรงเรียน งานโรงเรียน,การบ้าน โครงงาน งานวิชาการอื่นๆ
1,บุษกร,23:30,5:30,22:00,6:30,23:30,8:00,8:30,6:00,6.000,8.500,8.500,30-40 นาที,30-40 นาที,2,3,2,2,2,การบ้าน โครงงาน งานวิชาการอื่นๆ,เพื่อน,กิจกรรมโรงเรียน งานโรงเรียน,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ,เวลาตื่น
1,บุษกร,22:30,5:30,22:30,9:30,23:00,9:30,8:30,6:00,7.000,11.000,10.500,30-40 นาที,25-30 นาที,2,2,1,3,3,การบ้าน โครงงาน งานวิชาการอื่นๆ,กิจกรรมโรงเรียน งานโรงเรียน,เวลาตื่น,เพื่อน,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ
1,บัวชมพู,22:00,5:20,22:30,7:40,23:00,7:45,8:30,5:30,7.333,9.167,8.750,20-30 นาที,25-30 นาที,2,3,2,3,3,การบ้าน โครงงาน งานวิชาการอื่นๆ,เวลาตื่น,กิจกรรมโรงเรียน งานโรงเรียน,เพื่อน,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ
1,บุษกร,23:30,5:30,23:00,7:30,23:00,8:00,8:30,5:30,6.000,8.500,9.000,15-20 นาที,25-30 นาที,3,2,0,3,2,การบ้าน โครงงาน งานวิชาการอื่นๆ,กิจกรรมโรงเรียน งานโรงเรียน,เพื่อน,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ,เวลาตื่น
1,โกเมน,0:00,5:10,0:30,7:30,1:00,7:30,8:30,6:00,5.167,7.000,6.500,15-20 นาที,5-10 นาที,3,2,1,3,1,การบ้าน โครงงาน งานวิชาการอื่นๆ,เวลาตื่น,เพื่อน,กิจกรรมโรงเรียน งานโรงเรียน,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ
1,โกเมน,0:00,5:30,23:00,10:40,0:00,10:40,9:00,7:00,5.500,11.667,10.667,มากกว่า 50 นาที,มากกว่า 40 นาที,2,3,1,3,4,การบ้าน โครงงาน งานวิชาการอื่นๆ,กิจกรรมโรงเรียน งานโรงเรียน,เวลาตื่น,เพื่อน,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ
1,โกเมน,22:00,5:45,20:00,6:20,21:00,8:30,9:00,6:30,7.750,10.333,11.500,20-30 นาที,20-25 นาที,3,1,2,3,2,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ,เพื่อน,กิจกรรมโรงเรียน งานโรงเรียน,เวลาตื่น,การบ้าน โครงงาน งานวิชาการอื่นๆ
1,โกเมน,23:30,5:30,22:00,8:00,22:00,7:30,9:00,6:45,6.000,10.000,9.500,30-40 นาที,20-25 นาที,1,4,2,2,3,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ,เวลาตื่น,กิจกรรมโรงเรียน งานโรงเรียน,เพื่อน,การบ้าน โครงงาน งานวิชาการอื่นๆ
1,บุษกร,23:30,5:45,22:00,9:00,23:00,8:00,8:30,6:00,6.250,11.000,9.000,10-15 นาที,30-40 นาที,4,1,0,4,2,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ,เพื่อน,กิจกรรมโรงเรียน งานโรงเรียน,เวลาตื่น,การบ้าน โครงงาน งานวิชาการอื่นๆ
1,บัวชมพู,23:10,5:10,1:00,9:30,2:30,11:00,9:00,6:30,6.000,8.500,8.500,40-50 นาที,20-25 นาที,1,3,2,1,3,เวลาตื่น,การบ้าน โครงงาน งานวิชาการอื่นๆ,เพื่อน,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ,กิจกรรมโรงเรียน งานโรงเรียน
1,บัวชมพู,23:00,5:30,22:30,7:30,22:00,8:00,9:00,6:30,6.500,9.000,10.000,30-40 นาที,30-40 นาที,1,3,1,2,2,การบ้าน โครงงาน งานวิชาการอื่นๆ,เวลาตื่น,เพื่อน,กิจกรรมโรงเรียน งานโรงเรียน,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ
1,บัวชมพู,0:30,5:50,22:00,7:30,22:00,7:30,8:30,6:10,5.333,9.500,9.500,15-20 นาที,20-25 นาที,1,3,2,2,2,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ,กิจกรรมโรงเรียน งานโรงเรียน,การบ้าน โครงงาน งานวิชาการอื่นๆ,เพื่อน,เวลาตื่น
1,โกเมน,0:30,5:50,0:00,7:00,1:00,9:00,9:00,7:30,5.333,7.000,8.000,10-15 นาที,15-20 นาที,2,1,0,2,3,การบ้าน โครงงาน งานวิชาการอื่นๆ,กิจกรรมโรงเรียน งานโรงเรียน,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ,เพื่อน,เวลาตื่น
1,โกเมน,,,23:30,6:15,0:30,7:45,8:00,5:30,,6.750,7.250,40-50 นาที,25-30 นาที,3,3,2,1,3,การบ้าน โครงงาน งานวิชาการอื่นๆ,กิจกรรมโรงเรียน งานโรงเรียน,เพื่อน,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ,เวลาตื่น
1,โกเมน,23:30,5:30,21:30,9:00,22:00,7:30,8:10,6:30,6.000,11.500,9.500,10-15 นาที,10-15 นาที,0,3,1,0,3,การบ้าน โครงงาน งานวิชาการอื่นๆ,เพื่อน,กิจกรรมโรงเรียน งานโรงเรียน,เวลาตื่น,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ
1,โกเมน,22:00,5:00,22:00,5:00,22:00,5:20,8:20,5:30,7.000,7.000,7.333,40-50 นาที,10-15 นาที,2,1,1,4,1,การบ้าน โครงงาน งานวิชาการอื่นๆ,กิจกรรมโรงเรียน งานโรงเรียน,เวลาตื่น,เพื่อน,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ
1,นิลปัทม์,23:00,5:00,23:30,4:30,0:00,9:00,8:00,5:30,6.000,5.000,9.000,15-20 นาที,15-20 นาที,3,1,0,3,1,การบ้าน โครงงาน งานวิชาการอื่นๆ,เพื่อน,กิจกรรมโรงเรียน งานโรงเรียน,เวลาตื่น,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ
1,บัวชมพู,23:00,5:30,21:45,6:15,21:45,6:15,8:30,6:00,6.500,8.500,8.500,20-30 นาที,25-30 นาที,1,1,1,3,3,เพื่อน,กิจกรรมโรงเรียน งานโรงเรียน,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ,เวลาตื่น,การบ้าน โครงงาน งานวิชาการอื่นๆ
1,บัวชมพู,0:00,5:45,0:00,11:00,2:00,8:15,9:45,5:45,5.750,11.000,6.250,15-20 นาที,25-30 นาที,2,1,0,3,2,กิจกรรมโรงเรียน งานโรงเรียน,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ,เวลาตื่น,เพื่อน,การบ้าน โครงงาน งานวิชาการอื่นๆ
1,บัวชมพู,22:00,5:20,21:30,5:40,23:20,10:30,9:00,6:30,7.333,8.167,11.167,20-30 นาที,10-15 นาที,2,4,3,1,2,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ,เพื่อน,กิจกรรมโรงเรียน งานโรงเรียน,เวลาตื่น,การบ้าน โครงงาน งานวิชาการอื่นๆ
1,บุษกร,22:00,5:30,22:00,9:00,23:00,9:00,9:00,6:30,7.500,11.000,10.000,30-40 นาที,15-20 นาที,2,3,2,3,2,การบ้าน โครงงาน งานวิชาการอื่นๆ,กิจกรรมโรงเรียน งานโรงเรียน,เพื่อน,เวลาตื่น,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ
1,นิลปัทม์,22:20,5:30,22:30,8:30,22:30,9:00,8:30,6:00,7.167,10.000,10.500,15-20 นาที,20-25 นาที,1,1,0,3,3,การบ้าน โครงงาน งานวิชาการอื่นๆ,เพื่อน,เวลาตื่น,กิจกรรมโรงเรียน งานโรงเรียน,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ
1,บุษกร,23:00,5:30,22:00,7:00,22:00,6:30,8:00,4:30,6.500,9.000,8.500,20-30 นาที,25-30 นาที,2,1,0,3,1,เพื่อน,กิจกรรมโรงเรียน งานโรงเรียน,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ,เวลาตื่น,การบ้าน โครงงาน งานวิชาการอื่นๆ
1,นิลปัทม์,22:30,4:45,22:00,5:00,23:00,6:38,8:30,5:00,6.250,7.000,7.633,20-30 นาที,10-15 นาที,2,0,0,3,1,เวลาตื่น,การบ้าน โครงงาน งานวิชาการอื่นๆ,เพื่อน,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ,กิจกรรมโรงเรียน งานโรงเรียน
1,บุษกร,22:30,5:30,21:00,9:00,21:00,10:00,8:50,6:00,7.000,12.000,13.000,30-40 นาที,25-30 นาที,3,3,0,3,4,การบ้าน โครงงาน งานวิชาการอื่นๆ,กิจกรรมโรงเรียน งานโรงเรียน,เวลาตื่น,เพื่อน,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ
1,นิลปัทม์,22:00,5:00,22:00,6:00,22:00,5:50,8:00,4:59,7.000,8.000,7.833,10-15 นาที,10-15 นาที,2,1,0,3,1,การบ้าน โครงงาน งานวิชาการอื่นๆ,กิจกรรมโรงเรียน งานโรงเรียน,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ,เพื่อน,เวลาตื่น
1,บุษกร,23:30,5:50,23:30,8:00,0:00,9:00,9:00,5:30,6.333,8.500,9.000,30-40 นาที,5-10 นาที,2,2,0,1,3,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ,เพื่อน,กิจกรรมโรงเรียน งานโรงเรียน,เวลาตื่น,การบ้าน โครงงาน งานวิชาการอื่นๆ
1,นิลปัทม์,23:00,5:55,0:00,9:00,0:00,8:25,9:00,7:00,6.917,9.000,8.417,20-30 นาที,10-15 นาที,3,1,1,3,3,กิจกรรมโรงเรียน งานโรงเรียน,เวลาตื่น,เพื่อน,การบ้าน โครงงาน งานวิชาการอื่นๆ,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ
1,นิลปัทม์,23:40,5:10,23:30,8:10,0:10,9:20,8:00,6:00,5.500,8.667,9.167,20-30 นาที,10-15 นาที,2,1,1,4,2,การบ้าน โครงงาน งานวิชาการอื่นๆ,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ,เพื่อน,กิจกรรมโรงเรียน งานโรงเรียน,เวลาตื่น
1,บัวชมพู,22:30,4:35,22:50,7:00,23:00,6:45,8:10,5:45,6.083,8.167,7.750,20-30 นาที,15-20 นาที,2,2,0,3,3,การบ้าน โครงงาน งานวิชาการอื่นๆ,กิจกรรมโรงเรียน งานโรงเรียน,เวลาตื่น,เพื่อน,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ
1,บัวชมพู,22:45,5:40,21:30,7:30,22:30,7:00,8:30,6:00,6.917,10.000,8.500,20-30 นาที,25-30 นาที,2,3,1,3,2,การบ้าน โครงงาน งานวิชาการอื่นๆ,กิจกรรมโรงเรียน งานโรงเรียน,เพื่อน,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ,เวลาตื่น
1,บัวชมพู,22:30,5:45,23:00,5:30,23:30,6:00,9:00,5:45,7.250,6.500,6.500,15-20 นาที,20-25 นาที,2,1,1,3,2,เพื่อน,เวลาตื่น,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ,กิจกรรมโรงเรียน งานโรงเรียน,การบ้าน โครงงาน งานวิชาการอื่นๆ
1,บุษกร,0:30,5:50,23:00,7:30,2:00,8:00,9:00,7:30,5.333,8.500,6.000,10-15 นาที,10-15 นาที,1,3,1,2,3,การบ้าน โครงงาน งานวิชาการอื่นๆ,กิจกรรมโรงเรียน งานโรงเรียน,เพื่อน,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ,เวลาตื่น
1,นิลปัทม์,22:30,5:10,0:00,6:00,0:00,10:00,8:30,5:00,6.667,6.000,10.000,40-50 นาที,25-30 นาที,4,0,0,3,2,การบ้าน โครงงาน งานวิชาการอื่นๆ,เพื่อน,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ,เวลาตื่น,กิจกรรมโรงเรียน งานโรงเรียน
1,บุษกร,0:00,3:00,21:00,7:00,2:00,7:00,8:30,6:00,3.000,10.000,5.000,10-15 นาที,25-30 นาที,2,2,1,3,3,การบ้าน โครงงาน งานวิชาการอื่นๆ,เวลาตื่น,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ,กิจกรรมโรงเรียน งานโรงเรียน,เพื่อน
1,บัวชมพู,22:00,5:40,22:30,7:00,23:00,7:30,9:00,5:00,7.667,8.500,8.500,15-20 นาที,20-25 นาที,4,2,0,3,2,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ,เวลาตื่น,เพื่อน,กิจกรรมโรงเรียน งานโรงเรียน,การบ้าน โครงงาน งานวิชาการอื่นๆ
1,โกเมน,23:50,5:40,23:15,8:30,23:30,8:10,8:30,6:30,5.833,9.250,8.667,15-20 นาที,5-10 นาที,2,2,0,3,3,การบ้าน โครงงาน งานวิชาการอื่นๆ,กิจกรรมโรงเรียน งานโรงเรียน,เวลาตื่น,เพื่อน,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ
1,โกเมน,23:30,6:30,0:00,11:30,0:00,9:30,9:00,7:00,7.000,11.500,9.500,20-30 นาที,5-10 นาที,2,4,1,2,1,การบ้าน โครงงาน งานวิชาการอื่นๆ,เวลาตื่น,กิจกรรมโรงเรียน งานโรงเรียน,เพื่อน,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ
1,นิลปัทม์,22:30,6:20,0:00,10:00,0:00,10:00,8:00,6:00,7.833,10.000,10.000,15-20 นาที,10-15 นาที,0,2,1,2,3,เวลาตื่น,เพื่อน,กิจกรรมโรงเรียน งานโรงเรียน,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ,การบ้าน โครงงาน งานวิชาการอื่นๆ
1,นิลปัทม์,23:00,5:00,23:00,5:00,23:00,7:00,9:00,6:00,6.000,6.000,8.000,20-30 นาที,30-40 นาที,1,3,3,2,2,กิจกรรมโรงเรียน งานโรงเรียน,เวลาตื่น,การบ้าน โครงงาน งานวิชาการอื่นๆ,เพื่อน,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ
1,บุษกร,22:30,5:00,22:00,7:30,22:30,8:00,9:00,5:30,6.500,9.500,9.500,10-15 นาที,10-15 นาที,2,1,0,3,2,เพื่อน,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ,เวลาตื่น,การบ้าน โครงงาน งานวิชาการอื่นๆ,กิจกรรมโรงเรียน งานโรงเรียน
1,บุษกร,22:30,5:45,21:00,7:30,22:00,7:30,9:00,6:30,7.250,10.500,9.500,15-20 นาที,25-30 นาที,2,3,0,3,3,การบ้าน โครงงาน งานวิชาการอื่นๆ,กิจกรรมโรงเรียน งานโรงเรียน,เวลาตื่น,เพื่อน,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ
1,บัวชมพู,22:00,5:00,21:00,5:30,22:00,7:00,8:30,5:45,7.000,8.500,9.000,40-50 นาที,15-20 นาที,3,2,1,3,3,การบ้าน โครงงาน งานวิชาการอื่นๆ,เวลาตื่น,เพื่อน,กิจกรรมโรงเรียน งานโรงเรียน,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ
1,นิลปัทม์,23:00,5:45,22:00,8:00,23:00,7:00,9:00,6:30,6.750,10.000,8.000,40-50 นาที,15-20 นาที,2,2,0,1,0,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ,เพื่อน,เวลาตื่น,การบ้าน โครงงาน งานวิชาการอื่นๆ,กิจกรรมโรงเรียน งานโรงเรียน
1,นิลปัทม์,,,0:00,8:30,23:30,7:30,10:30,9:00,,8.500,8.000,20-30 นาที,20-25 นาที,2,3,1,4,4,การบ้าน โครงงาน งานวิชาการอื่นๆ,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ,เพื่อน,เวลาตื่น,กิจกรรมโรงเรียน งานโรงเรียน
1,นิลปัทม์,22:00,6:00,23:00,6:00,23:00,6:00,8:30,6:30,8.000,7.000,7.000,40-50 นาที,25-30 นาที,0,4,2,0,4,การบ้าน โครงงาน งานวิชาการอื่นๆ,กิจกรรมโรงเรียน งานโรงเรียน,เวลาตื่น,เพื่อน,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ
1,โกเมน,22:00,5:30,23:00,6:30,22:00,7:00,8:30,5:30,7.500,7.500,9.000,20-30 นาที,10-15 นาที,2,1,1,2,3,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ,การบ้าน โครงงาน งานวิชาการอื่นๆ,กิจกรรมโรงเรียน งานโรงเรียน,เวลาตื่น,เพื่อน
1,นิลปัทม์,23:00,5:30,22:00,8:00,22:30,8:00,8:45,6:00,6.500,10.000,9.500,30-40 นาที,25-30 นาที,2,2,0,2,3,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ,เพื่อน,กิจกรรมโรงเรียน งานโรงเรียน,เวลาตื่น,การบ้าน โครงงาน งานวิชาการอื่นๆ
1,นิลปัทม์,0:00,5:15,2:00,11:10,1:00,8:30,9:30,6:15,5.250,9.167,7.500,30-40 นาที,5-10 นาที,2,3,1,4,1,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ,กิจกรรมโรงเรียน งานโรงเรียน,เพื่อน,เวลาตื่น,การบ้าน โครงงาน งานวิชาการอื่นๆ
1,บุษกร,22:00,5:30,22:00,8:00,22:00,8:15,9:30,9:00,7.500,10.000,10.250,10-15 นาที,15-20 นาที,1,2,2,3,4,เพื่อน,กิจกรรมโรงเรียน งานโรงเรียน,การบ้าน โครงงาน งานวิชาการอื่นๆ,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ,เวลาตื่น
1,นิลปัทม์,0:00,5:45,1:00,10:00,1:30,10:00,8:30,6:30,5.750,9.000,8.500,10-15 นาที,5-10 นาที,2,2,2,4,1,เวลาตื่น,เพื่อน,การบ้าน โครงงาน งานวิชาการอื่นๆ,กิจกรรมโรงเรียน งานโรงเรียน,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ
1,นิลปัทม์,23:00,4:30,23:00,4:50,23:30,6:00,8:50,5:00,5.500,5.833,6.500,5-10 นาที,5-10 นาที,4,1,2,4,3,การบ้าน โครงงาน งานวิชาการอื่นๆ,โทรศัพท์/อุปกรณ์อิเล็กทรอนิกส์อื่นๆ,กิจกรรมโรงเรียน งานโรงเรียน,เพื่อน,เวลาตื่น
